a,PRIORITY,DATE,ARTIST,TITLE,FORMAT,GENRE,Album Date,FOCUS TRACK,LABEL,DISTRIBUTOR,SPOTIFY URI ,ISRC,Apple ID,UPC/ Barcode,DESCRIPCIÓN,DESCRIPTION,LISTEN,VAULT LINK TO PHOTO,DSP HIGHLIGHTS,DROPBOX FOLDER,DSP NOTES
,Med,Jan 29,Magnolia Park,HIGH (feat. Arrows In Action),Single,"Rock, Alternative",,,Epitaph Records,,spotify:track:4r1Exw3yZy96p32gy5OqyW,USEP42543006,1867202638,0045778817634,"Tras un año de gira, Magnolia Park, de Orlando, regresa para reimaginar su aclamado álbum VAMP. Nights After VAMP añade seis temas extra, encabezados por el himno «HIGH», una colaboración con Arrows In Action. Fusionando electrónica, breakdowns aplastantes y voces altísimas, la banda convierte historias de sangre y cromo en rock cinematográfico. MP llevará estas canciones al escenario este mes de marzo en Australia con Babymetal, seguido de una gira como cabeza de cartel en Estados Unidos.","After a year on the road, Orlando’s Magnolia Park return to reimagine their acclaimed album VAMP. Nights After VAMP adds six bonus tracks, led by the anthemic single “HIGH,” a collab with Arrows In Action. Fusing electronics, crushing breakdowns, and soaring vocals, the band turns tales of blood and chrome into cinematic rock. MP will bring these tunes to the stage this March in AUS with Babymetal, followed by a US headline tour.",https://s.disco.ac/weadneezwggh,"- https://epitaph.sharepoint.com/teams/EpitaphOrg/Shared%20Documents/Forms/AllItems.aspx?id=%2Fteams%2FEpitaphOrg%2FShared%20Documents%2FGeneral%2F%5FEpitaph%2FMagnolia%20Park%2F%5FPHOTOS%2FGeneral%20Use%20Photos%2FMAIN%5FMagnoliaPark%5FNickFancher1Y1A3837%5FWeb%2Ejpg&parent=%2Fteams%2FEpitaphOrg%2FShared%20Documents%2FGeneral%2F%5FEpitaph%2FMagnolia%20Park%2F%5FPHOTOS%2FGeneral%20Use%20Photos&p=true&ga=1
- https://epitaph.sharepoint.com/teams/EpitaphOrg/Shared%20Documents/Forms/AllItems.aspx?id=%2Fteams%2FEpitaphOrg%2FShared%20Documents%2FGeneral%2F%5FEpitaph%2FMagnolia%20Park%2F%5FPHOTOS%2FGeneral%20Use%20Photos%2FMagnoliaPark%20and%20ArrowsInAction%5FChristianMaravelis%5FPhotoOct29%5FWeb%2Ejpg&parent=%2Fteams%2FEpitaphOrg%2FShared%20Documents%2FGeneral%2F%5FEpitaph%2FMagnolia%20Park%2F%5FPHOTOS%2FGeneral%20Use%20Photos&p=true&ga=1",, https://www.dropbox.com/scl/fo/faoxleejk3ng7azkj7p56/ADUutCQurrxFUl5QOoVzo3A?rlkey=3605g3lem4hssbdcakpjt1cb2&st=vm20vy1w&dl=0,
,High,Jan 30,RUBIO,Me Asusta Amar Tanto la Soledad,Single,"Synth-Pop, Electronic, Alternative, Latin",Feb 13,Mi Chica,FAMA,Altafonte,spotify:album:1RjUloYZjSGblp5fKixULs,US6R22597603|,1866981907,199806862056,"“Me Asusta Amar Tanto la Soledad”, el cuarto tema del próximo álbum de Rubio, tentativamente titulado EPV1OJ. Es una canción íntima y profundamente emotiva que explora el aislamiento, la vulnerabilidad y cómo las experiencias de la infancia dejan huellas en la vida adulta. Con una voz de tono casi infantil y la calidez de una guitarra de 12 cuerdas, el tema equilibra cercanía y nostalgia, dejando al descubierto emociones no resueltas. “Me asusta amar tanto la soledad como el nombre lo dice, muchas veces he sentido miedo de ser tan aislada al mundo. Quise representar esa sensación, de no sentirse tan especial, de abrir el corazón con tu mamá. Sensaciones de infancia que te van generando corazas y luego te enfrentas a la vida adulta con muchas heridas y traumas no resueltos. Es una de mis canciones favoritas del disco. Su sonoridad media infantil en mi voz, donde la pichie para arriba, es una canción emotiva. La guitarra de 12 cuerdas, son elementos muy particulares. La letra me gustó mucho como quedó. Me lleva a muchas emociones, la verdad. El video es de mis favoritos, cuando lo grabé me emocioné en muchas escenas”. - Fran Straube (Rubio)",,https://promo.theorchard.com/px97c3DGb4bKGHU1uv3p,,,,
,High,Jan 30,Ye Vagabonds,All Tied Together,Album,"indie, folk",,Danny,River Lea Recordings,Beggars,spotify:track:0SodyCDKktmOihlKE7jL9p,GBCVZ2500226,1834736723,191402804157,"Tras haberse dado a conocer inicialmente como intérpretes de la música de sus ancestros mezclada con composiciones originales de folk, el nuevo disco de Ye Vagabonds presenta por primera vez únicamente canciones propias. Danny despliega la magia de las armonías de los hermanos, con instrumentos acústicos realzados por el brillo emotivo del sintetizador. Han estado de gira con artistas de la talla de Hozier, Phoebe Bridgers e I’m With Her. La cobertura de prensa del álbum incluye una reseña de 8/10 en Uncut, una sesión en WNYC y un reportaje en el Irish Sunday Times. Gira en 2026 por el Reino Unido, la Unión Europea, Irlanda y EE. UU.","Initially achieving renown as purveyors of their ancestors’ music mixed with folk-based originals, Ye Vagabonds’ new record features their own songs only for the first time. Danny shows the magic of the brothers’ harmonies, with acoustic instruments heightened by the emotive sparkle of synthesiser. Toured with the likes of Hozier, Phoebe Bridgers & I’m With Her. Album press includes 8/10 review in Uncut, WNYC Session, Irish Sunday Times feature. 2026 touring across UK, EU, IE & US.  ","https://www.promojukebox.com/PEMDL42901033-FSBUJDF82C2T6UK6-imeldahehir%40beggars.com,imelda.hehir.rough",,,,
,High,Jan 30,Tyler Ballgame,"For The First Time, Again",Album,pop alternative,,"For The First Time, Again",Rough Trade,Beggars,spotify:track:3U6hRsB4wRDjsg2pEsJWhA,GBCVZ2500162,1834736723,191402056952,"El deslumbrante debut de Tyler Ballgame, For the First Time, Again, es un estimulante recordatorio de cómo las grandes canciones, en manos de un vocalista talentoso, logran conmover, cautivar e inspirar. Producido por Jonathan Rado (Foxygen, Weyes Blood) y Ryan Pollie, e interpretado con el asombroso y versátil tenor de Ballgame, estos 12 temas de exquisita factura —con raíces en el rock clásico, el indie y el género Americana— harán que cualquiera que tenga corazón se sienta comprendido. Próximamente: CBS Saturday Morning (TV en EE. UU.), The Last Leg (TV en Reino Unido), NPR, Spin y sesiones en BBC Radio 2 y 6Music.","Tyler Ballgame’s stunning debut, For the First Time, Again, is a bracing reminder of how great songs delivered by a gifted vocalist move, captivate, and inspire. Produced by Jonathan Rado (Foxygen, Weyes Blood) and Ryan Pollie and delivered in Ballgame’s astonishing, versatile tenor, these 12 finely crafted tunes, rooted in classic rock, indie, and Americana, will make anyone with a heart feel seen. Upcoming: CBS Saturday Morning US TV, Last Leg UK TV, NPR, Spin, BBC Radio 2 & 6Music Sessions.","https://www.promojukebox.com/PEMDL42901033-FSBUJDF82C2T6UK6-imeldahehir%40beggars.com,imelda.hehir.rough",,,,
3,High,Jan 30,Lewis of Man,Electronicity,Single,pop,,,,,,,,,"Tras el electrizante “Smash”, Lewis OfMan continúa su impulso con el lanzamiento de “Electronicity”, el segundo single de su esperado próximo álbum 50KWTTS, que verá la luz en primavera de 2026. El productor multi-certificado explora una nueva faceta de su arte y se sumerge en un universo electro vibrante, marcado por sintetizadores potentes y voces robóticas. Lewis OfMan iniciará una gira europea en abril de 2026, con fechas que incluyen La Cigale en París y XOYO en Londres.","After the electrifying “Smash”, Lewis OfMan keeps the momentum going with the release of “Electronicity”, the second single from his highly anticipated upcoming album 50KWTTS, due out in spring 2026. The multi-certified producer explores a new facet of his artistry, diving into an exhilarating electro universe driven by vibrant synths and robotic vocals. Lewis OfMan will kick off a European tour in April 2026, with dates including La Cigale in Paris and XOYO in London.",https://www.dropbox.com/scl/fo/680ee681e08r3x0g06i1w/AJ_U9_D6D75Arbl0YLP2srA?rlkey=uzbfilruddqaw4xpakj49z7ev&st=7n34xdmp&dl=0,,,https://www.dropbox.com/scl/fo/680ee681e08r3x0g06i1w/AJ_U9_D6D75Arbl0YLP2srA?rlkey=uzbfilruddqaw4xpakj49z7ev&st=7n34xdmp&dl=0,
,Med,Jan 30,From Ashes To New,Villain,Single,"Rock, Hard Rock",Apr 17,,Better Noise ,,spotify:album:4SLQnE0hqXkcnMlbLhcxnE,USDPK2500217,1860126455,810202534308,"FATN está encaminada a convertirse en una de las bandas más determinantes de 2026, y todo comienza con su nuevo sencillo “Villain”, que marca el inicio de un emocionante nuevo capítulo. Respaldada por una audiencia global masiva, la banda ha superado 1.1 mil millones de reproducciones totales en DSPs, incluyendo más de 345 millones de streams de audio, 50 millones de vistas de video y cuatro sencillos Top 10 en Active Rock, además de promediar actualmente 2.1 millones de oyentes diarios en Apple Music y alcanzar 2.6 millones de oyentes en Amazon Music. Con un alcance combinado en redes sociales de más de 1.7 millones de seguidores, la banda encaja de forma natural en playlists de Apple Music como The New Rock, Breaking Rock, New in Rock, The Riff, Breaking Metal, Breaking Hard Rock y Headbangers, así como en Rock Arena, Fresh Rock, Metal Scene y Rock Scene de Amazon Music.","FATN is set to be one of 2026 most definitive bands, and it all starts with their new single “Villain”, wich launches an exciting next chapter. Backed by a massive global audience, the band has surpassed 1.1B total DSP streams, including 345M+ global audio streams, 50M+ video views, and four Top 10 Active Rock singles, while currently averaging 2.1M daily listeners on Apple Music and reaching 2.6M listeners on Amazon Music. With a combined social reach of over 1.7M followers, the band is a strong fit for Apple Music playlists including The New Rock, Breaking Rock, New in Rock, The Riff, Breaking Metal, Breaking Hard Rock, and Headbangers, as well as Amazon Music’s Rock Arena, Fresh Rock, Metal Scene, and Rock Scene.",https://www.dropbox.com/scl/fi/p6ouec94a3xazl5fpbysz/03-Villain_zcmix6_-rev-eq-11-10-48Khz-24Bit.wav?rlkey=k85xv1aen3qirzqf6acq24csc&e=1&st=pe84ki1k&dl=0,,,,
,,,,,,,,,,,,,,,,,,,,,
,High,Feb 2,Charlotte Day Wilson,Patchwork EP,EP,r&b,,If only,XL Recordings,Beggars,spotify:album:56c8txn6KCWuukEMSvoegl,GBBKS2500698,1870281314,191404165836,"Following a run of critically acclaimed singles, Charlotte Day Wilson releases new EP, ‘Patchwork’. After refining an electronic-leaning sound over recent releases, the EP is lead with ‘If Only’, a solo, self-produced CDW rnb classic. Produced alongside Jack Emblem, Charlotte also plays bass, synth, piano and saxophone, exercising her multi-instrument talent, delivering a blend of her foremost influences with euphoric, shimmering keys and harmonies, redefining the sound of contemporary rnb.","Following a run of critically acclaimed singles, Charlotte Day Wilson releases new EP, ‘Patchwork’. After refining an electronic-leaning sound over recent releases, the EP is lead with ‘If Only’, a solo, self-produced CDW rnb classic. Produced alongside Jack Emblem, Charlotte also plays bass, synth, piano and saxophone, exercising her multi-instrument talent, delivering a blend of her foremost influences with euphoric, shimmering keys and harmonies, redefining the sound of contemporary rnb.","https://www.promojukebox.com/PEMDL52138323-TJLC9UHRFSJNQDR6-imeldahehir%40beggars.com,imelda.hehir.xl12",,,,
1,High,Feb 3,Mitski,I’ll Change For You',Single,singer songwriter,,,Dead Oceans,Secretly Canadian,,,1860622550,617308034608,"Mitski presenta “I’ll Change for You,” el segundo adelanto de su próximo álbum Nothing’s About to Happen to Me, que se lanza el 27 de febrero a través de Dead Oceans. Este estreno llega junto con el anuncio de su esperada presentación en Ciudad de México, con un show confirmado en el Auditorio Nacional el 23 de marzo, como uno de los momentos clave de esta nueva era. Con “I’ll Change for You,” Mitski continúa construyendo el camino hacia uno de los lanzamientos alternativos más anticipados del año, combinando una propuesta visual impactante con su intensidad emocional y un songwriting profundamente cinematográfico.","Mitski presents “I’ll Change for You,” the second single from her forthcoming album Nothing’s About to Happen to Me, out February 27th via Dead Oceans.The release arrives alongside the announcement of Mitski’s upcoming Mexico City performance at Auditorio Nacional on March 23, marking a key moment in the global rollout of the new era. With “I’ll Change for You,” Mitski continues to build momentum toward one of the most anticipated alternative albums of the year—pairing striking visuals with her signature emotional intensity and cinematic songwriting.",,,,,
,High,Feb 3,Metric,Victim of Luck,Single,indie rock,Apr 24,,,The Orchard,,QMFMG2532673,,199806774335,"Metric presenta “Victim of Luck”, el primer sencillo de su próximo álbum Romantasize The Dive, que saldrá el 24 de abril. Reconocida por su composición atemporal y su espíritu ferozmente independiente, la banda de Toronto se ha mantenido a la vanguardia del indie rock durante más de dos décadas. La canción marca un nuevo y audaz capítulo para una banda definida por su longevidad, innovación y autonomía artística.","Metric present “Victim of Luck,” the first single from their new album Romantasize The Dive, out April 24. Renowned for their timeless songwriting and fiercely independent spirit, the Toronto band has remained at the forefront of indie rock for over two decades. The track marks a bold new chapter from a band defined by longevity, innovation, and artistic autonomy.",https://promo.theorchard.com/Kn0n2GmlHAYzWueFK6r9,,"MX #4, BR #8",,
,High,Feb 3,Good Kid ,Eastside ,Single,"indie pop, rock",April 3rd ,,,,spotify:album:3TC2ByOCEmKmVQmSaBmAWl,USJ5G2545007,1862263550,199806049655,"Good Kid lanza su nuevo sencillo Eastside, con su álbum debut previsto para abril de 2026 y una gran gira mundial a continuación (con shows ya agotados). Eastside es una canción sobre la rivalidad, un himno directo y sin disculpas que celebra sentir lo que se siente al cruzarse con un adversario. Con más de 700 millones de reproducciones y una base de fans vibrante y comprometida: 315K en TikTok (con varios videos superando los 4M), 383K en Instagram y 590K en YouTube (video viral con 20M). ","Good Kid releases new single Eastside, debut album due in April 2026, large world tour to follow (sold out shows already). Eastside is a song about rivalry, and an unapologetic anthem for feeling what you feel when running into an adversary. With 700M+ streams, vibrant & engaged fans: 315K TT (multiple vids over 4M), 383KIG & 590KYT (viral vid: 20M). ",https://good-people-record-co.disco.ac/track-new/167390781?user_id=1250421&signature=NuDRiFOOJs2NNpeW4ciCJy7Mkx0%3AHFdbmDvB,https://www.dropbox.com/scl/fo/21s3ibh41kf41fkjxinci/AD49Hv-xYdx7eO_yLmQ1DWc?rlkey=qirgrh3ors2svb89ps3e5s8jo&st=iuzt0d48&dl=0,,,ONE SHEET (PASSWORD: GoodPeopleOnly2026!): https://goodkid.info/
3,High,Feb 3,King Krule,Rock Bottom / Octopus,Single,indie rock,,Rock Bottom,True Panther,Beggars,spotify:track:4IMUNFZqhkRJp7X8PAOrZ9,GBQGW1200057,1871166095,191404163658,"Lanzada originalmente en 2012, “Rock Bottom” captura a King Krule en su punto más vulnerable. Acordes de jazz turbios, ritmos esqueléticos y el barítono fracturado de Archy Marshall a la deriva a través del aislamiento nocturno. Un lamento lo-fi post-punk que se siente a la vez íntimo e inquietante, es una piedra angular del primer King Krule: crudo y sin filtros emocionales. Ahora, más de una década y media después, el tema finalmente llega a las plataformas digitales (DSPs), resurgiendo como un artefacto largamente esperado de sus años de formación.""","Originally released in 2012, “Rock Bottom” captures King Krule at his most vulnerable. Murky jazz chords, skeletal beats, and Archy Marshall’s fractured baritone drifting through late-night isolation. A lo-fi post-punk lament that feels both intimate and unsettling, it’s a cornerstone of early King Krule: raw and emotionally unfiltered. Now, over a decade and a half later, the track finally arrives on DSPs, resurfacing as a long-awaited artifact from his formative years.","https://www.promojukebox.com/PEMDL22628735-65SRFKSMZ3TAV8HU-shaundelaney%40beggars.com,shaun.delaney.mat1",,,,
,Med,Feb 3,Buck Meek,Ring of Fire,Single,singer songwriter,,,4AD,Beggars,spotify:track:4yvqnW2T2V73yhMWu8OyaT,GBAFL2500530,1854203230,191400090675,"Buck Meek presenta The Mirror (sale el 27 de febrero) con “Ring of Fire”, una promesa emotiva iluminada por guitarras cálidas y las envolventes voces de fondo de Adrianne Lenker. Su cuarto álbum solista, producido por James Krivchenia (Big Thief), cuenta con colaboraciones de la arpista Mary Lattimore y el compositor Alex Sommers. El disco incluye canciones ya favoritas de sus giras de 2024 y combina la energía cinética del directo con su mundo electrónico oblicuo. Ha recibido apoyo temprano de Pitchfork, Consequence, NPR All Songs y DIY. Gira mundial en 2026.","Buck Meek introduces The Mirror (out 2/27) w/ “Ring of Fire” — a heartfelt promise glowing w/ warm guitars & Adrianne Lenker’s swooning background vocals. His 4th solo LP — produced by Big Thief bandmate James Krivchenia; ft. harpist Mary Lattimore, composer Alex Sommers — incl. fan-favorites from ‘24 tours, combines band’s live kinetic energy & his oblique electronic world. Early support via P4k, Consequence, NPR All Songs, DIY; “Playfully awestruck” (SGUM). Global ‘26 tour.","https://www.promojukebox.com/PEMDL35248022-P9D3BBJY25TEVFKZ-imeldahehir%40beggars.com,imelda.hehir.4ad1.2",,,,
,Med,Feb 3,Robyn,Sexistential (Arca Remix),Single,"dance, pop",,,Young,Beggars,spotify:album:0CghpJDNKhaaPU9Pw20Og6,UK7MC2600004,1871222136,889030048851,"La inimitable artista y productora Arca presenta una versión para discotecas de ""Sexistential"", la canción que enciende el debate, amplificando la audacia y la honestidad del tema, instando a Robyn, la ""madre de la casa"", a ""contárselo"". El tema original ya es uno de sus sencillos más comentados tras su actuación en Colbert y el lanzamiento del video con la letra. El remix llega en medio del anuncio de una gira mundial por estadios, la entrevista con Las Culturistas y próximas colaboraciones con The Face, The Guardian, Vogue, Rolling Stone, New Yorker y más.","Inimitable artist & producer Arca delivers a club ready rework of Robyn’s discourse-igniting “Sexistential” amplifying the track’s playful boldness & honesty; urging ""mother of the house"" Robyn to ""tell them"". The original is already one of her most talked about singles following performance on Colbert & lyric video release. The remix lands amid global arena tour announcement & Las Culturistas interview + upcoming cover features w/ The Face, The Guardian, Vogue, Rolling Stone, New Yorker & more","https://www.promojukebox.com/PEMDL85972121-E4ATUXGGMSKJUB63-imeldahehir%40beggars.com,imelda.hehir.ytrus",,,,
,Rare,Feb 4,Sorry,Billy Elliot,Single,Alternative,,,Domino,,spotify:track:7gf3M0upbz1PemBCtDUP7D,GBCEL2500512,1867614060,887829156862,"Sorry regresó el año pasado con COSPLAY, su tercer álbum y una audaz reinvención que redefine lo que puede ser una banda de rock. Mezclando referencias a la cultura pop, auto-sampling y una experimentación sin miedo, COSPLAY construye un universo surreal donde Mickey Mouse acecha en las sombras, Guided By Voices se cruza con el glamour decadente y la entropía de Boltzmann impulsa el garage rock. Como parte del lanzamiento, la banda presenta el nuevo sencillo “The Saddest Song I Ever Did Hear”, que combina tonos oscuros con un coro pop expansivo y texturas orquestales. En febrero, Sorry gira por Reino Unido y Europa.","Sorry returned last year with COSPLAY, their third album and a bold reinvention that redraws the rules of what a rock band can be. Blending pop culture references, self-sampling and fearless experimentation, COSPLAY creates a surreal world where Mickey Mouse lurks in the shadows, Guided By Voices collide with A-list sleaze, and Boltzmann’s entropy fuels garage rock. In support of the album, the band share new single “The Saddest Song I Ever Did Hear,” pairing dark undertones with a sweeping pop chorus and orchestral textures. This February, Sorry tour the UK/EU, including London’s HERE at Outernet.",https://delivery.dominomusic.com/0f426f5872fd1d8742,,,,
,High,Feb 4,The Linda Lindas,California Sun,Single,"Rock, Punk",,,Epitaph Records,,,,,,,,,,,,
,Med,Feb 5,Daniel Avery,Neon Pulse (Midnight Version),Single,Electronic,,,Domino,,spotify:track:6gOutDxUYEjRfzvUVonM3f,GBCEL2500703,1860110983,887829157067,"El productor y compositor Daniel Avery anunció Tremor (Midnight Versions), una edición reimaginada de su álbum que llegará el 6 de marzo. Reinterpretando el disco completo por su cuenta, Avery presenta una versión más oscura y orientada al club de su sexto álbum de estudio, Tremor, pensada para la noche. Estas Midnight Versions llevan el material más profundo hacia el techno: despojado, más intenso y diseñado para la pista de baile, sin perder la carga emocional y la textura que definen su sonido. Durante marzo, Avery tocará todos los viernes en Phonox, Londres, con invitados b2b seleccionados.","Acclaimed producer and composer Daniel Avery announced Tremor (Midnight Versions), a reimagined edition of his album, landing on 6th March. Reworking the entire record himself, Avery delivers a darker, club-driven counterpart to his sixth studio album Tremor, reshaped for late-night settings. These Midnight Versions push the material deeper into techno territory - stripped back, intensified and built for the dancefloor while preserving the emotional depth and texture central to Avery’s sound. Avery will play at Phonox, London every Friday in March, with select b2b guests including IMOGEN and DJ Stingray 313.",https://delivery.dominomusic.com/437ad03262da24a383,,,,
,Med,Feb 5,Usted Señalemelo,Deseo,Single,Indie pop Rock,,,Sony Chile,,spotify:track:594s1AODSpT9zQpjCfVsDH,CLPP32600012,1871254435,196874035337,,,,,,,
,Med,Feb 5,Perfume Genius,Undercurrent (Clean Heart),Single,"indie, alternative ",Feb 27,,Matador,Beggars,spotify:track:0qEoKoiXF17TblSsDJY0tX,USMTD2600043,1871253193,191401223676,"El proximo 27 de febrero, Perfume Genius lanzará Glory (Extended), una versión digital deluxe de su aclamado álbum de 2024, nominado al Grammy, que incluye b sides y demos de canciones favoritas de los fans. Coincidiendo con el lanzamiento, Perfume Genius iniciará una gira especial en formato dúo por Estados Unidos junto a su esposo y colaborador Alan Wyffels, la primera vez que giran así en más de 10 años.","On February 27th, Perfume Genius will release 'Glory (Extended)', a deluxe, digital version of his acclaimed, and Grammy nominated, 2024 album featuring b-sides and demo versions of fan favorites such as the incredibly moving demo ""Undercurrent (Clean Heart.)"" Coinciding with the extended album's release, Perfume Genius kick- off a special duo tour in the US with husband and longtime collaborator Alan Wyffels, the first time the pair have toured as a duo in over 10 years.","https://www.promojukebox.com/PEMDL29984952-637WN6AKE98YQQUZ-imeldahehir%40beggars.com,imelda.hehir.mat1",,,,
JUST BRAZIL ,High,Feb 6,Luiza ,Manhã de Carnaval ,Single,"alternative, pop",Apr 10,,,,spotify:track:5qjPGbqrSLG741kaWsqfJR,,1867841851,3596975008198,"La artista franco-brasileña Luiza irrumpió el año pasado con “Soleil Bleu” (+110 millones de reproducciones globales, +4,5 millones de UGCs en redes sociales, #1 en radio en Francia y Bélgica) y ahora regresa con una sutil reinterpretación pop-reggae de un clásico atemporal, un homenaje a su doble herencia: una alegoría de amor y saudade inspirada en el Carnaval, que originalmente cautivó al público mundial a través de la película “Orfeo Negro” (Palma de Oro en Cannes en 1959); su álbum debut se lanzará el 10 de abril.","French Brazilian artist Luiza was propelled last year with “Soleil Bleu” (+110M global streams, +4.5M UGCs on socials, #1 radio in France & Belgiu). She now returns with a subtle pop-reggae reinterpretation of a timeless classic: a tribute to her double heritage. An allegory of love and saudade inspired by the Carnaval, the song originally captivated audiences worldwide in the film “Black Orpheus” (Orfeu Negro – Palme d’Or at Cannes in 1959). Luiza’s debut album will be out on April 10.",https://share.bridge.audio/chapter-two-records/luiza--manha-de-carnaval?id=d319dbce-8465-403c-bf59-ed1686781de7,,,,
2,High,Feb 6,Paco Versailles,Alone in Rome ft. French Braids ,Single,"alternative, pop",,,,,,,,1963624212497,"“Alone in Roma” se inspiró en los recuerdos y experiencias colectivas de Ryan y Vahagni en la Ciudad de México. La historia se escribió sola, dejando entrever nostalgias personales. French Braids (de CDMX) ya habían remezclado una canción de ellos, así que fue algo natural invitarlos a participar como artistas invitados, co-producir el tema y abrir los dos conciertos de lanzamiento de Paco Versailles en México.","“Alone in Roma” was inspired by Ryan & Vahagni's collective memories and experiences in MX City. The story wrote itself while hinting at personal nostalgias. French Braids (from CDMX) previously remixed a song of theirs, so it only felt natural to bring them on to feature, co-produce, and open Paco Versailles’ two release shows in MX.",https://groupprojects.disco.ac/track-new/179881835?user_id=1451715&signature=Nd-CAmwE7nCmzH7qs05Zvd09m5c%3AUdhcrGGg,,,,
,Med,Feb 6,KAVARI,PLAGUE MUSIC,EP,electronic,,SERPENT CHAMBER,XL Recordings,Beggars,spotify:album:6df6MwrUe8rwmxHpWglwwr ,GBBKS2500571,1852244027,191404162637,"KAVARI debuta en XL Recordings con su EP ‘PLAGUE MUSIC’. Tras recibir apoyo de Aphex Twin, Overmono y Hudson Mohawke, la productora con sede en Glasgow lanza su primer trabajo del año, que precede a un año de giras mundiales. Liderada por ‘SERPENT CHAMBER’, la canción toma elementos del dubstep clásico del Reino Unido y la marca de ritmos distorsionados y texturas desafiantes de KAVARI para crear un tema que resonará en los sound systems de la escena rave underground en 2026.","KAVARI debuts on XL Recordings with her EP ‘PLAGUE MUSIC’. Following support from Aphex Twin, Overmono & Hudson Mohawke, the Glasgow-based producer drops her first release of the year, preceding a year of global touring. Lead by ‘SERPENT CHAMBER’, the track flips classic UK dubstep and KAVARI’s brand of distorted rhythms and challenging textures to create a song that will burst through the sound systems of the underground rave scene in 2026.","https://www.promojukebox.com/PEMDL52138323-TJLC9UHRFSJNQDR6-imeldahehir%40beggars.com,imelda.hehir.xl12",,,,
,Med,Feb 6,Siloé,Amor Infinito,Single,indie latin,Mayo,,,ONEPrm,,QZTVM2609431,,703325904342,"""Siloé presenta “Amor infinito”, nuevo adelanto de su próximo álbum aún por anunciar. Después del éxito de su último álbum ""SANTA TRINIDAD” (ya disco de oro) por el que recibió grandes críticas por parte de medios musicales como Mondo Sonoro y Radio 3 y que ha tenido una gira de más de 100 conciertos con 60 SOLD OUTS, la banda, en su momento más dulce, nos presenta una canción que es un himno pop/rock llena de energía festivalera, que va de lo íntimo a lo universal, con influencias de bandas como Heroes del Silencio, Supersubmarina y Coldplay. El crecimiento de Siloé es imparable. En 2024 alcanzaron los 99.000 oyentes diarios y en 2025 superaron los 250.000, una cifra que continúa aumentando tras cada nuevo lanzamiento. Este ascenso se consolida con hitos como el sold out del Movistar Arena previsto para 2027, confirmando su posición como una de las bandas clave del panorama nacional. Además ya han cerrado otros 2 Movistar Arena más aún no anunciados. El primer trimestre de 2026 vendrá acompañado de una gira de salas y medios por Latinoamérica, un paso decisivo en la expansión internacional de la banda","Siloé presents “Amor infinito,” a new preview of their upcoming album, which has yet to be announced. Following the success of their latest album, “SANTA TRINIDAD” (already certified gold), which received rave reviews from music media outlets such as Mondo Sonoro and Radio 3 and led to a tour of more than 100 concerts with 60 sold-out shows, the band, at the height of its success, presents a song that is a pop/rock anthem full of festival energy, ranging from the intimate to the universal, with influences from bands such as Heroes del Silencio, Supersubmarina, and Coldplay. Siloé's growth is unstoppable. In 2024, they reached 99,000 daily listeners, and in 2025, they surpassed 250,000, a figure that continues to increase with each new release. This rise is consolidated with milestones such as the sold-out Movistar Arena concert scheduled for 2027, confirming their position as one of the key bands on the national scene. In addition, they have already booked two more Movistar Arena concerts, which have not yet been announced. The first quarter of 2026 will be accompanied by a tour of venues and media outlets in Latin America, a decisive step in the band's international expansion.",https://www.dropbox.com/scl/fi/pfmuzo4jlhxy7btxlv48t/AMOR-INFINITO-BBM-MASTER-V2-4416.wav?rlkey=a02d1v8k1v6e8tgvihyw5pvof&st=ytbivehp&dl=0,,,https://www.dropbox.com/scl/fo/qy4qm7q69v3h6qr2pdqck/ALPuMbZnV6Cvu-rsRQG2w4M?rlkey=5u8e2055asad9nxudh30mnpfz&st=e082ddr6&dl=0,
,,,,,,,,,,,,,,,,,,,,,
,Rare,Feb 9,Anna Calvi,God’s Lonely Man (feat. Iggy Pop),Single,Alternative,marzo 20,,Domino,,spotify:track:3U80KdOoVGGekiTv2hQAk2,GBCEL1900422,1858372891,887829113599,"Is This All There Is? es un EP de 4 canciones que reúne a Anna con cuatro artistas extraordinarios. Incluye dos temas originales: el potente y directo rock and roll God’s Lonely Man, con la voz inconfundible de Iggy Pop, y Is This All There Is?, una pieza etérea junto a Matt Berninger de The National, presente también en The Souvenir Part II de Joanna Hogg. El EP se completa con dos versiones memorables: I See a Darkness de Bonnie ‘Prince’ Billy con Perfume Genius, y una nueva lectura de Computer Love de Kraftwerk junto a la legendaria Laurie Anderson.","Is This All There Is? is a 4-track EP featuring collaborations between Anna and four very exciting artists. There are two original tracks: firstly, an absolute humdinger of a rock’n’roll track called ‘God’s Lonely Man’ that features vocals from the one and only Iggy Pop and, secondly, ‘Is This All There Is?’, a dreamy number featuring Matt Berninger of The National. A version of the latter appeared in Joanna Hogg’s The Souvenir Part II. There are also two covers: one is a dramatic rendering of our very own Bonnie ‘Prince’ Billy’s classic ‘I See A Darkness’ featuring vocals from Perfume Genius and the other is a reinterpretation of Kraftwerk’s ‘Computer Love’ alongside the legendary Laurie Anderson.",https://delivery.dominomusic.com/0c7d2e0109e23f1654,,,,
